<div style='font-family:sans-serif;text-align:center'><div style='font-size:40px;font-weight:700;margin:24px 0'>開(あ)ける</div><div style='font-size:13px;opacity:.6'>reading + mechanics on answer</div></div>	<div style='font-family:sans-serif;line-height:1.55'><div style='font-size:32px;font-weight:700;text-align:center'>開(あ)ける</div><div style='font-size:18px;opacity:.7;text-align:center;margin-bottom:12px'>あける</div><div><b>Class:</b> 一段(いちだん)</div><div><b>Transitivity:</b> 他動詞(たどうし)</div><div><b>Frame:</b> Nを開(あ)ける</div><div style='margin-top:12px'><b>Pair:</b> 開(あ)く</div><hr><div><b>🇰🇷</b> 열다</div><div><b>🇬🇧</b> to open something</div><div><b>🇮🇩</b> membuka sesuatu</div><hr><div style='font-size:21px'>窓(まど)を開(あ)ける。</div><div style='opacity:.7'>🇰🇷 창문을 열다.</div></div>	JLPT_N3_4M mechanics_verb pair_open ichidan transitive
<div style='font-family:sans-serif;text-align:center'><div style='font-size:40px;font-weight:700;margin:24px 0'>開(あ)く</div><div style='font-size:13px;opacity:.6'>reading + mechanics on answer</div></div>	<div style='font-family:sans-serif;line-height:1.55'><div style='font-size:32px;font-weight:700;text-align:center'>開(あ)く</div><div style='font-size:18px;opacity:.7;text-align:center;margin-bottom:12px'>あく</div><div><b>Class:</b> 五段(ごだん)</div><div><b>Transitivity:</b> 自動詞(じどうし)</div><div><b>Frame:</b> Nが開(あ)く</div><div style='margin-top:12px'><b>Pair:</b> 開(あ)ける</div><hr><div><b>🇰🇷</b> 열리다; 문을 열다</div><div><b>🇬🇧</b> to open; become open</div><div><b>🇮🇩</b> terbuka; mulai buka</div><hr><div style='font-size:21px'>店(みせ)は九時(くじ)に開(あ)く。</div><div style='opacity:.7'>🇰🇷 가게는 9시에 연다.</div></div>	JLPT_N3_4M mechanics_verb pair_open godan intransitive
<div style='font-family:sans-serif;text-align:center'><div style='font-size:40px;font-weight:700;margin:24px 0'>閉(し)める</div><div style='font-size:13px;opacity:.6'>reading + mechanics on answer</div></div>	<div style='font-family:sans-serif;line-height:1.55'><div style='font-size:32px;font-weight:700;text-align:center'>閉(し)める</div><div style='font-size:18px;opacity:.7;text-align:center;margin-bottom:12px'>しめる</div><div><b>Class:</b> 一段(いちだん)</div><div><b>Transitivity:</b> 他動詞(たどうし)</div><div><b>Frame:</b> Nを閉(し)める</div><div style='margin-top:12px'><b>Pair:</b> 閉(し)まる</div><hr><div><b>🇰🇷</b> 닫다</div><div><b>🇬🇧</b> to close something</div><div><b>🇮🇩</b> menutup sesuatu</div><hr><div style='font-size:21px'>窓(まど)を閉(し)める。</div><div style='opacity:.7'>🇰🇷 창문을 닫다.</div></div>	JLPT_N3_4M mechanics_verb pair_close ichidan transitive
<div style='font-family:sans-serif;text-align:center'><div style='font-size:40px;font-weight:700;margin:24px 0'>閉(し)まる</div><div style='font-size:13px;opacity:.6'>reading + mechanics on answer</div></div>	<div style='font-family:sans-serif;line-height:1.55'><div style='font-size:32px;font-weight:700;text-align:center'>閉(し)まる</div><div style='font-size:18px;opacity:.7;text-align:center;margin-bottom:12px'>しまる</div><div><b>Class:</b> 五段(ごだん)</div><div><b>Transitivity:</b> 自動詞(じどうし)</div><div><b>Frame:</b> Nが閉(し)まる</div><div style='margin-top:12px'><b>Pair:</b> 閉(し)める</div><hr><div><b>🇰🇷</b> 닫히다</div><div><b>🇬🇧</b> to close; become closed</div><div><b>🇮🇩</b> tertutup</div><hr><div style='font-size:21px'>店(みせ)は八時(はちじ)に閉(し)まる。</div><div style='opacity:.7'>🇰🇷 가게는 8시에 닫는다.</div></div>	JLPT_N3_4M mechanics_verb pair_close godan intransitive
<div style='font-family:sans-serif;text-align:center'><div style='font-size:40px;font-weight:700;margin:24px 0'>始(はじ)める</div><div style='font-size:13px;opacity:.6'>reading + mechanics on answer</div></div>	<div style='font-family:sans-serif;line-height:1.55'><div style='font-size:32px;font-weight:700;text-align:center'>始(はじ)める</div><div style='font-size:18px;opacity:.7;text-align:center;margin-bottom:12px'>はじめる</div><div><b>Class:</b> 一段(いちだん)</div><div><b>Transitivity:</b> 他動詞(たどうし)</div><div><b>Frame:</b> Nを始(はじ)める</div><div style='margin-top:12px'><b>Pair:</b> 始(はじ)まる</div><hr><div><b>🇰🇷</b> 시작하다</div><div><b>🇬🇧</b> to start something</div><div><b>🇮🇩</b> memulai sesuatu</div><hr><div style='font-size:21px'>勉強(べんきょう)を始(はじ)める。</div><div style='opacity:.7'>🇰🇷 공부를 시작하다.</div></div>	JLPT_N3_4M mechanics_verb pair_start ichidan transitive
<div style='font-family:sans-serif;text-align:center'><div style='font-size:40px;font-weight:700;margin:24px 0'>始(はじ)まる</div><div style='font-size:13px;opacity:.6'>reading + mechanics on answer</div></div>	<div style='font-family:sans-serif;line-height:1.55'><div style='font-size:32px;font-weight:700;text-align:center'>始(はじ)まる</div><div style='font-size:18px;opacity:.7;text-align:center;margin-bottom:12px'>はじまる</div><div><b>Class:</b> 五段(ごだん)</div><div><b>Transitivity:</b> 自動詞(じどうし)</div><div><b>Frame:</b> Nが始(はじ)まる</div><div style='margin-top:12px'><b>Pair:</b> 始(はじ)める</div><hr><div><b>🇰🇷</b> 시작되다</div><div><b>🇬🇧</b> to begin; start</div><div><b>🇮🇩</b> dimulai; mulai</div><hr><div style='font-size:21px'>授業(じゅぎょう)が始(はじ)まる。</div><div style='opacity:.7'>🇰🇷 수업이 시작된다.</div></div>	JLPT_N3_4M mechanics_verb pair_start godan intransitive
<div style='font-family:sans-serif;text-align:center'><div style='font-size:40px;font-weight:700;margin:24px 0'>終(お)える</div><div style='font-size:13px;opacity:.6'>reading + mechanics on answer</div></div>	<div style='font-family:sans-serif;line-height:1.55'><div style='font-size:32px;font-weight:700;text-align:center'>終(お)える</div><div style='font-size:18px;opacity:.7;text-align:center;margin-bottom:12px'>おえる</div><div><b>Class:</b> 一段(いちだん)</div><div><b>Transitivity:</b> 他動詞(たどうし)</div><div><b>Frame:</b> Nを終(お)える</div><div style='margin-top:12px'><b>Pair:</b> 終(お)わる</div><hr><div><b>🇰🇷</b> 끝내다</div><div><b>🇬🇧</b> to finish something</div><div><b>🇮🇩</b> menyelesaikan sesuatu</div><hr><div style='font-size:21px'>仕事(しごと)を終(お)える。</div><div style='opacity:.7'>🇰🇷 일을 끝내다.</div></div>	JLPT_N3_4M mechanics_verb pair_finish ichidan transitive
<div style='font-family:sans-serif;text-align:center'><div style='font-size:40px;font-weight:700;margin:24px 0'>終(お)わる</div><div style='font-size:13px;opacity:.6'>reading + mechanics on answer</div></div>	<div style='font-family:sans-serif;line-height:1.55'><div style='font-size:32px;font-weight:700;text-align:center'>終(お)わる</div><div style='font-size:18px;opacity:.7;text-align:center;margin-bottom:12px'>おわる</div><div><b>Class:</b> 五段(ごだん)</div><div><b>Transitivity:</b> 自動詞(じどうし)</div><div><b>Frame:</b> Nが終(お)わる</div><div style='margin-top:12px'><b>Pair:</b> 終(お)える</div><hr><div><b>🇰🇷</b> 끝나다</div><div><b>🇬🇧</b> to end; finish</div><div><b>🇮🇩</b> berakhir; selesai</div><hr><div style='font-size:21px'>試験(しけん)が終(お)わる。</div><div style='opacity:.7'>🇰🇷 시험이 끝난다.</div></div>	JLPT_N3_4M mechanics_verb pair_finish godan intransitive
<div style='font-family:sans-serif;text-align:center'><div style='font-size:40px;font-weight:700;margin:24px 0'>入(い)れる</div><div style='font-size:13px;opacity:.6'>reading + mechanics on answer</div></div>	<div style='font-family:sans-serif;line-height:1.55'><div style='font-size:32px;font-weight:700;text-align:center'>入(い)れる</div><div style='font-size:18px;opacity:.7;text-align:center;margin-bottom:12px'>いれる</div><div><b>Class:</b> 一段(いちだん)</div><div><b>Transitivity:</b> 他動詞(たどうし)</div><div><b>Frame:</b> Nを場所(ばしょ)に入(い)れる</div><div style='margin-top:12px'><b>Pair:</b> 入(はい)る</div><hr><div><b>🇰🇷</b> 넣다</div><div><b>🇬🇧</b> to put in; insert</div><div><b>🇮🇩</b> memasukkan</div><hr><div style='font-size:21px'>鞄(かばん)に本(ほん)を入(い)れる。</div><div style='opacity:.7'>🇰🇷 가방에 책을 넣다.</div></div>	JLPT_N3_4M mechanics_verb pair_enter ichidan transitive
<div style='font-family:sans-serif;text-align:center'><div style='font-size:40px;font-weight:700;margin:24px 0'>入(はい)る</div><div style='font-size:13px;opacity:.6'>reading + mechanics on answer</div></div>	<div style='font-family:sans-serif;line-height:1.55'><div style='font-size:32px;font-weight:700;text-align:center'>入(はい)る</div><div style='font-size:18px;opacity:.7;text-align:center;margin-bottom:12px'>はいる</div><div><b>Class:</b> 五段(ごだん)・注意(ちゅうい)</div><div><b>Transitivity:</b> 自動詞(じどうし)</div><div><b>Frame:</b> Nが場所(ばしょ)に入(はい)る</div><div style='margin-top:12px'><b>Pair:</b> 入(い)れる</div><hr><div><b>🇰🇷</b> 들어가다</div><div><b>🇬🇧</b> to enter; go in</div><div><b>🇮🇩</b> masuk</div><hr><div style='font-size:21px'>部屋(へや)に入(はい)る。</div><div style='opacity:.7'>🇰🇷 방에 들어가다.</div></div>	JLPT_N3_4M mechanics_verb pair_enter godan intransitive
