jp	reading	display	verb_class	transitivity	pair	frame	ko	en	id	example_jp	example_ko	theme
開ける	あける	開(あ)ける	一段(いちだん)	他動詞(たどうし)	開(あ)く	Nを開(あ)ける	열다	to open something	membuka sesuatu	窓(まど)を開(あ)ける。	창문을 열다.	pair_open
開く	あく	開(あ)く	五段(ごだん)	自動詞(じどうし)	開(あ)ける	Nが開(あ)く	열리다; 문을 열다	to open; become open	terbuka; mulai buka	店(みせ)は九時(くじ)に開(あ)く。	가게는 9시에 연다.	pair_open
閉める	しめる	閉(し)める	一段(いちだん)	他動詞(たどうし)	閉(し)まる	Nを閉(し)める	닫다	to close something	menutup sesuatu	窓(まど)を閉(し)める。	창문을 닫다.	pair_close
閉まる	しまる	閉(し)まる	五段(ごだん)	自動詞(じどうし)	閉(し)める	Nが閉(し)まる	닫히다	to close; become closed	tertutup	店(みせ)は八時(はちじ)に閉(し)まる。	가게는 8시에 닫는다.	pair_close
始める	はじめる	始(はじ)める	一段(いちだん)	他動詞(たどうし)	始(はじ)まる	Nを始(はじ)める	시작하다	to start something	memulai sesuatu	勉強(べんきょう)を始(はじ)める。	공부를 시작하다.	pair_start
始まる	はじまる	始(はじ)まる	五段(ごだん)	自動詞(じどうし)	始(はじ)める	Nが始(はじ)まる	시작되다	to begin; start	dimulai; mulai	授業(じゅぎょう)が始(はじ)まる。	수업이 시작된다.	pair_start
終える	おえる	終(お)える	一段(いちだん)	他動詞(たどうし)	終(お)わる	Nを終(お)える	끝내다	to finish something	menyelesaikan sesuatu	仕事(しごと)を終(お)える。	일을 끝내다.	pair_finish
終わる	おわる	終(お)わる	五段(ごだん)	自動詞(じどうし)	終(お)える	Nが終(お)わる	끝나다	to end; finish	berakhir; selesai	試験(しけん)が終(お)わる。	시험이 끝난다.	pair_finish
入れる	いれる	入(い)れる	一段(いちだん)	他動詞(たどうし)	入(はい)る	Nを場所(ばしょ)に入(い)れる	넣다	to put in; insert	memasukkan	鞄(かばん)に本(ほん)を入(い)れる。	가방에 책을 넣다.	pair_enter
入る	はいる	入(はい)る	五段(ごだん)・注意(ちゅうい)	自動詞(じどうし)	入(い)れる	Nが場所(ばしょ)に入(はい)る	들어가다	to enter; go in	masuk	部屋(へや)に入(はい)る。	방에 들어가다.	pair_enter
出す	だす	出(だ)す	五段(ごだん)	他動詞(たどうし)	出(で)る	Nを場所(ばしょ)から出(だ)す	꺼내다; 내다	to take out; put out	mengeluarkan	鞄(かばん)から本(ほん)を出(だ)す。	가방에서 책을 꺼내다.	pair_exit
出る	でる	出(で)る	一段(いちだん)	自動詞(じどうし)	出(だ)す	場所(ばしょ)を／から出(で)る	나가다; 나오다	to leave; come out	keluar	家(いえ)を出(で)る。	집을 나가다.	pair_exit
つける	つける	つける	一段(いちだん)	他動詞(たどうし)	つく	Nをつける	켜다; 붙이다	to turn on; attach	menyalakan; memasang	テレビをつける。	텔레비전을 켜다.	pair_switch
つく	つく	つく	五段(ごだん)	自動詞(じどうし)	つける	Nがつく	켜지다; 붙다	to turn on; become attached	menyala; menempel	電気(でんき)がつく。	불이 켜진다.	pair_switch
消す	けす	消(け)す	五段(ごだん)	他動詞(たどうし)	消(き)える	Nを消(け)す	끄다; 지우다	to turn off; erase	mematikan; menghapus	電気(でんき)を消(け)す。	불을 끄다.	pair_disappear
消える	きえる	消(き)える	一段(いちだん)	自動詞(じどうし)	消(け)す	Nが消(き)える	꺼지다; 사라지다	to go out; disappear	padam; menghilang	電気(でんき)が消(き)える。	불이 꺼진다.	pair_disappear
落とす	おとす	落(お)とす	五段(ごだん)	他動詞(たどうし)	落(お)ちる	Nを落(お)とす	떨어뜨리다	to drop something	menjatuhkan	鍵(かぎ)を落(お)とす。	열쇠를 떨어뜨리다.	pair_fall
落ちる	おちる	落(お)ちる	一段(いちだん)	自動詞(じどうし)	落(お)とす	Nが落(お)ちる	떨어지다	to fall; drop	jatuh	葉(は)が落(お)ちる。	잎이 떨어진다.	pair_fall
上げる	あげる	上(あ)げる	一段(いちだん)	他動詞(たどうし)	上(あ)がる	Nを上(あ)げる	올리다	to raise; increase something	menaikkan	値段(ねだん)を上(あ)げる。	가격을 올리다.	pair_raise
上がる	あがる	上(あ)がる	五段(ごだん)	自動詞(じどうし)	上(あ)げる	Nが上(あ)がる	오르다	to rise; go up	naik	値段(ねだん)が上(あ)がる。	가격이 오르다.	pair_raise
下げる	さげる	下(さ)げる	一段(いちだん)	他動詞(たどうし)	下(さ)がる	Nを下(さ)げる	내리다; 낮추다	to lower; reduce something	menurunkan	温度(おんど)を下(さ)げる。	온도를 낮추다.	pair_lower
下がる	さがる	下(さ)がる	五段(ごだん)	自動詞(じどうし)	下(さ)げる	Nが下(さ)がる	내려가다; 낮아지다	to fall; go down	turun	温度(おんど)が下(さ)がる。	온도가 내려간다.	pair_lower
変える	かえる	変(か)える	一段(いちだん)	他動詞(たどうし)	変(か)わる	Nを変(か)える	바꾸다	to change something	mengubah sesuatu	予定(よてい)を変(か)える。	일정을 바꾸다.	pair_change
変わる	かわる	変(か)わる	五段(ごだん)	自動詞(じどうし)	変(か)える	Nが変(か)わる	바뀌다	to change; become different	berubah	予定(よてい)が変(か)わる。	일정이 바뀐다.	pair_change
決める	きめる	決(き)める	一段(いちだん)	他動詞(たどうし)	決(き)まる	Nを決(き)める	정하다; 결정하다	to decide something	menentukan; memutuskan	日程(にってい)を決(き)める。	일정을 정하다.	pair_decide
決まる	きまる	決(き)まる	五段(ごだん)	自動詞(じどうし)	決(き)める	Nが決(き)まる	정해지다; 결정되다	to be decided	ditetapkan; diputuskan	日程(にってい)が決(き)まる。	일정이 정해진다.	pair_decide
続ける	つづける	続(つづ)ける	一段(いちだん)	他動詞(たどうし)	続(つづ)く	Nを／Vます-stem＋続(つづ)ける	계속하다	to continue something	melanjutkan	勉強(べんきょう)を続(つづ)ける。	공부를 계속하다.	pair_continue
続く	つづく	続(つづ)く	五段(ごだん)	自動詞(じどうし)	続(つづ)ける	Nが続(つづ)く	계속되다	to continue; last	berlanjut	雨(あめ)が三日(みっか)も続(つづ)く。	비가 사흘이나 계속된다.	pair_continue
増やす	ふやす	増(ふ)やす	五段(ごだん)	他動詞(たどうし)	増(ふ)える	Nを増(ふ)やす	늘리다	to increase something	menambah; meningkatkan	語彙(ごい)を増(ふ)やす。	어휘를 늘리다.	pair_increase
増える	ふえる	増(ふ)える	一段(いちだん)	自動詞(じどうし)	増(ふ)やす	Nが増(ふ)える	늘다; 증가하다	to increase; grow	bertambah; meningkat	仕事(しごと)が増(ふ)える。	일이 늘어난다.	pair_increase
減らす	へらす	減(へ)らす	五段(ごだん)	他動詞(たどうし)	減(へ)る	Nを減(へ)らす	줄이다	to reduce something	mengurangi	無駄(むだ)を減(へ)らす。	낭비를 줄이다.	pair_decrease
減る	へる	減(へ)る	五段(ごだん)	自動詞(じどうし)	減(へ)らす	Nが減(へ)る	줄다	to decrease; diminish	berkurang	人口(じんこう)が減(へ)る。	인구가 줄어든다.	pair_decrease
壊す	こわす	壊(こわ)す	五段(ごだん)	他動詞(たどうし)	壊(こわ)れる	Nを壊(こわ)す	부수다; 망가뜨리다	to break something	merusakkan	機械(きかい)を壊(こわ)す。	기계를 망가뜨리다.	pair_break
